Company,Ticker,Sector,Sub-sector,Revenue 2005,Revenue 2006,Revenue 2007,Revenue 2008,Revenue 2009,Revenue 2010,Revenue 2011,Revenue 2012,Revenue 2013,Revenue 2014,Revenue 2015,Revenue 2016,Revenue 2017,Revenue 2018,Revenue 2019,Revenue 2020,Net Income 2005,Net Income 2006,Net Income 2007,Net Income 2008,Net Income 2009,Net Income 2010,Net Income 2011,Net Income 2012,Net Income 2013,Net Income 2014,Net Income 2015,Net Income 2016,Net Income 2017,Net Income 2018,Net Income 2019,Net Income 2020,EBITDA 2005,EBITDA 2006,EBITDA 2007,EBITDA 2008,EBITDA 2009,EBITDA 2010,EBITDA 2011,EBITDA 2012,EBITDA 2013,EBITDA 2014,EBITDA 2015,EBITDA 2016,EBITDA 2017,EBITDA 2018,EBITDA 2019,EBITDA 2020,Cash 2005,Cash 2006,Cash 2007,Cash 2008,Cash 2009,Cash 2010,Cash 2011,Cash 2012,Cash 2013,Cash 2014,Cash 2015,Cash 2016,Cash 2017,Cash 2018,Cash 2019,Cash 2020,Debt 2005,Debt 2006,Debt 2007,Debt 2008,Debt 2009,Debt 2010,Debt 2011,Debt 2012,Debt 2013,Debt 2014,Debt 2015,Debt 2016,Debt 2017,Debt 2018,Debt 2019,Debt 2020,Total Assets 2005,Total Assets 2006,Total Assets 2007,Total Assets 2008,Total Assets 2009,Total Assets 2010,Total Assets 2011,Total Assets 2012,Total Assets 2013,Total Assets 2014,Total Assets 2015,Total Assets 2016,Total Assets 2017,Total Assets 2018,Total Assets 2019,Total Assets 2020,Total Liabilities 2005,Total Liabilities 2006,Total Liabilities 2007,Total Liabilities 2008,Total Liabilities 2009,Total Liabilities 2010,Total Liabilities 2011,Total Liabilities 2012,Total Liabilities 2013,Total Liabilities 2014,Total Liabilities 2015,Total Liabilities 2016,Total Liabilities 2017,Total Liabilities 2018,Total Liabilities 2019,Total Liabilities 2020
apple,AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",13931,19315,24578,37491,42905.0,65225,108249.0,156508,170910,182795,233715,215639.0,229234.0,265595,260174.0,274515.0,1328.0,1989.0,3495.0,6119,8235.0,14013.0,25922.0,41733.0,37037,39510,53394,45687,48351.0,59531,55256.0,57411.0,1822,2678,4734,8823,12474,19412,35604,58518,55756,60449,82487,70529,71501,81801,76477,77344,8261,10110,15386,22111,23464,25620,25952,29129,40546,25077,41601,67155,74181.0,66301.0,100557.0,90943.0,-,-,-,-,-,-,-,-,16960,28987,53329,75427,97207,93735,91807,98667,11516,17205,25347,36171,47501,75183,116371,176064,207000,231839,290345.0,321686,375319.0,365725.0,338516.0,323888.0,4088,7221,10815,13874,15861,27392,39756,57854,83451,120292,170990.0,193437,241272.0,258578.0,248028.0,258549.0
microsoft,MSFT,Information Technology,Systems Software,39788,44282,51122,60420,58437.0,62484,69943.0,73723,77849,86833,93580,91154.0,96571.0,110360,125843.0,143015.0,12254.0,12599.0,14065.0,17681,14569.0,18760.0,23150.0,16978.0,21863,22074,12193,20539,25489.0,16571,39240.0,44281.0,15416,17375,19878,24327,22925,26771,29927,30923,30519,32971,31616,33330,37803,45319,54641,65755,37751,34161,23411,23662,31447,36788,52772,63040,77022,85709,96526,113240,132981.0,133768.0,133819.0,136527.0,-,-,-,-,3746,4939,11921,10713,12601,20645,27808,40557,76073,72242,66662,59578,70815,69597,63171,72793,77888,86113,108704,121271,142431,172384,174472.0,193468,250312.0,258848.0,286556.0,301311.0,22700,29493,32074,36507,38330,39938,51621,54908,63487,82600,94389.0,121471,162601.0,176130.0,184226.0,183007.0
amazon,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail,8490,10711,14835,19166,24509.0,34204,48077.0,61093,74452,88988,107006,135987.0,177866.0,232887,280522.0,386064.0,359.0,190.0,476.0,645,902.0,1152.0,631.0,-39.0,274,-241,596,2371,3033.0,10073,11588.0,21331.0,553,594,901,1129,1507,1974,1945,2835,3998,4924,8514,12302,15584,27762,36330,48150,2000,2019,3112,3727,6366,8762,9576,11448,12447,17416,19808,25981,30986.0,41250.0,55021.0,84396.0,1480,1247,1282,409,-,1561,255,3084,3191,8265,8227,7694,24743,23495,23414,31816,3696,4363,6485,8314,13813,18797,25278,32555,40159,54505,64747.0,83402,131310.0,162648.0,225248.0,321195.0,3450,3932,5288,5642,8556,11933,17521,24363,30413,43764,51363.0,64117,103601.0,119099.0,163188.0,227791.0
tesla,TSLA,Consumer Discretionary,Automobile Manufacturers,,,,14.742,111.943,116.744,204.242,413.256,2013.496,3198.356,4046.025,7000.132,11759.0,21461,24578.0,31536.0,,,,-82.782,-55.74,-154.328,-254.411,-396.213,-74.014,-294.04,-888.663,-674.914,-1962.0,-976,-870.0,690.0,,,,-74.347,-44.957,-136.215,-234.569,-365.458,59.501,114.976,-215.985,374.449,95,1672,2273,4496,,,,-,69.627,173.155,303.803,220.984,848.901,1923.66,1219.536,3498.735,3523.237,3879.0,6268.0,19384.0,,,,-,0.8,72.324,271.165,411.46,598.974,1876.981,2068.378,5879.12,9418.39,9404,11634,9607,,,,-,130.424,386.082,713.448,1114.19,2416.93,5830.667,8067.939,22664.08,28655.37,29740.0,34309.0,52148.0,,,,-,383.947,179.034,489.403,989.49,1749.81,4918.957,6984.235,17125.99,23420.78,23983.0,26842.0,29073.0
facebook,FB,Communication Services,Interactive Media & Services,,,153,272,777.0,1974,3711.0,5089,7872,12466,17928,27638.0,40653.0,55838,70697.0,85965.0,,,-138.0,-56,122.0,372.0,668.0,32.0,1491,2925,3669,10188,15920.0,22111,18485.0,29146.0,,,-124,-55,340,1171,2079,1187,3815,6237,8170,14769,23228,29228,29727,39533,,,-,-,-,1785,3908,9626,11449,11199,18434,29449,41711.0,41114.0,54855.0,61954.0,,,-,-,-,367,398,1991,237,119,107,-,-,-,-,-,,,-,-,-,2990,6331,15103,17895,39966,49407.0,64961,84524.0,97334.0,133376.0,159316.0,,,-,-,-,828,1432,3348,2425,3870,5189.0,5767,10177.0,13207.0,32322.0,31026.0
alphabet,GOOGL,Communication Services,Interactive Media & Services,6138.56,10604.92,16593.99,21796,23651.0,29321,37905.0,46039,55519,66001,74989,90272.0,110855.0,136819,161857.0,182527.0,1465.3970000000004,3077.446,4203.72,4227,6520.0,8505.0,9737.0,10737.0,12733,14136,15826,19478,12662.0,30736,34343.0,40269.0,2311.09,4121.938,6052.059,8132,9836,11777,13593,16796,19342,21475,24423,29860,33093,36559,46012,54921,8034.247,11243.91,14218.61,15845.77,24485,34975,44626,48088,58717,64395,73066,86333,101871.0,109140.0,119675.0,136694.0,-,-,-,-,-,-,2986,2988,2236,3228,1995,3935,3969,4012,4554,13932,10271.81,18473.35,25335.81,31767.57,40497,57851,72574,93798,110920,129187,147461.0,167497,197295.0,232792.0,275909.0,319616.0,852.856,1433.511,2646.127,3528.713,4493,11610,14429,22083,23611,25327,27130.0,28461,44793.0,55164.0,74467.0,97072.0
berkshire-hathaway,BRK.B,Financials,Multi-Sector Holdings,81663,98539,118245,107786,112493.0,136185,143688.0,162463,182150,194699,210943,215114.0,239933.0,247837,254616.0,245510.0,8528.0,11015.0,13213.0,4994,8055.0,12967.0,10254.0,14824.0,19476,19872,24083,24074,44940.0,4021,81417.0,42521.0,17085,23942,27972,15766,19693,28802,26108,31134,38105,38754,46362,56093,39757,1622,192250,125859,44660,43743,44329,25539,30558,38227,37299,46992,48186,63269,67161,28048,31583.0,30361.0,64175.0,47990.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,198325,248437,273160,267399,297119,372229,392647,427452,484931,525867,552257.0,620854,702095.0,707794.0,817729.0,873729.0,106841,140018,152427,153692,161334,209295,223686,235864,260446,282840,293630.0,335426,350141.0,355294.0,389166.0,422393.0
johnson-johnson,JNJ,Health Care,Pharmaceuticals,50514,53324,61095,63747,61897.0,61587,65030.0,67224,71312,74331,70074,71890.0,76450.0,81581,82059.0,82584.0,10060.0,11053.0,10576.0,12949,12266.0,13334.0,9672.0,10853.0,13831,16323,15409,16540,1300.0,15297,15119.0,14714.0,15750,17656,16808,20557,19070,20448,16181,18037,20131,25058,23622,24651,24634,26544,25012,24040,16138,4084,9315,12809,19425,27658,32261,21089,29206,33089,38376,41907,18296.0,19687.0,19287.0,25185.0,2017,2014,7074,8120,8223,9156,12969,11489,13328,15122,12857,22442,30675,27684,26494,32635,58864,70556,80954,84912,94682,102908,113644,121347,132683,130358,133411.0,141208,157303.0,152954.0,157728.0,174894.0,20154,31238,37635,42401,44094,46329,56564,56521,58630,60606,62261.0,70790,97143.0,93202.0,98257.0,111616.0
jpmorgan-chase,JPM,Financials,Diversified Banks,79768,99864,116353,101491,115632.0,115475,110838.0,108074,106717,103009,101006,106387.0,114579.0,129824,142194.0,129503.0,8470.0,14440.0,14924.0,4742,8774.0,15764.0,17568.0,19877.0,16557,20077,22651,22834,22567.0,30709,34642.0,27410.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,490689,560221,713916,878132,695968,761686,824158,921861,978602,1127099,916919,991732,1011570.0,1014095.0,882475.0,1327019.0,130365,163683,227845,403083,322058,304978,278683,275660,295883,306601,309756,295245,284080,282031,291498,281685,1198942,1351520,1562147,2175052,2031989,2117605,2265792,2359141,2415689,2572274,2351698.0,2490972,2533600.0,2622532.0,2687379.0,3386071.0,1091731,1235730,1438926,2008168,1866624,1941499,2082219,2155072,2204511,2340547,2104125.0,2236782,2277907.0,2366017.0,2426049.0,3106717.0
visa,V,Information Technology,Data Processing & Outsourced Services,2664.605,2948,3590,6263,6911.0,8065,9188.0,10421,11778,12702,13880,15082.0,18358.0,20609,22977.0,21846.0,360.445,455.0,-1076.0,804,2353.0,2966.0,3650.0,2144.0,4980,5438,6328,5991,6699.0,10301,12080.0,10866.0,1161.227,1465,-823,2630,4998,6414,7624,4627,9957,10724,9558,8385,12700,13556,15485,14811,-,930.575,1022,6632,6097,5917,6255,7249,4304,5448,7087,9965,14469.0,13200.0,13279.0,20942.0,-,41.28,-,55,44,32,-,-,-,-,-,15882,16618,16630,16729,21071,-,2963.918,4390,34981,32281,33408,34760,40013,35956,38569,39367.0,64035,67977.0,69225.0,72574.0,80919.0,-,2381.104,4891,13840,9088,8394,8323,12383,9086,11156,9525.0,31123,35217.0,35219.0,37890.0,44709.0
