"Company","Ticker","Sector","Sub-sector"
"Apple Inc.","AAPL","Information Technology","Technology Hardware, Storage & Peripherals"
"Microsoft Corporation","MSFT","Information Technology","Systems Software"
"Amazon.com Inc.","AMZN","Consumer Discretionary","Internet & Direct Marketing Retail"
"Tesla Inc","TSLA","Consumer Discretionary","Automobile Manufacturers"
"Facebook Inc. Class A","FB","Communication Services","Interactive Media & Services"
"Alphabet Inc. Class A","GOOGL","Communication Services","Interactive Media & Services"
"Berkshire Hathaway Inc. Class B","BRK.B","Financials","Multi-Sector Holdings"
"Johnson & Johnson","JNJ","Health Care","Pharmaceuticals"
"JPMorgan Chase & Co.","JPM","Financials","Diversified Banks"
"Visa Inc. Class A","V","Information Technology","Data Processing & Outsourced Services"
"NVIDIA Corporation","NVDA","Information Technology","Semiconductors"
"Procter & Gamble Company","PG","Consumer Staples","Personal Products"
"UnitedHealth Group Incorporated","UNH","Health Care","Managed Health Care"
"Walt Disney Company","DIS","Communication Services","Movies & Entertainment"
"Home Depot Inc.","HD","Consumer Discretionary","Home Improvement Retail"
"PayPal Holdings Inc","PYPL","Information Technology","Data Processing & Outsourced Services"
"Mastercard Incorporated Class A","MA","Information Technology","Data Processing & Outsourced Services"
"Netflix Inc.","NFLX","Communication Services","Movies & Entertainment"
"Intel Corporation","INTC","Information Technology","Semiconductors"
"Comcast Corporation Class A","CMCSA","Communication Services","Cable & Satellite"
"Bank of America Corp","BAC","Financials","Diversified Banks"
"Adobe Inc.","ADBE","Information Technology","Application Software"
"Verizon Communications Inc.","VZ","Communication Services","Integrated Telecommunication Services"
"Abbott Laboratories","ABT","Health Care","Health Care Equipment"
"salesforce.com inc.","CRM","Information Technology","Application Software"
"Thermo Fisher Scientific Inc.","TMO","Health Care","Life Sciences Tools & Services"
"AT&T Inc.","T","Communication Services","Integrated Telecommunication Services"
"Pfizer Inc.","PFE","Health Care","Pharmaceuticals"
"Merck & Co. Inc.","MRK","Health Care","Pharmaceuticals"
"Walmart Inc.","WMT","Consumer Staples","Hypermarkets & Super Centers"
"Cisco Systems Inc.","CSCO","Information Technology","Communications Equipment"
"Exxon Mobil Corporation","XOM","Energy","Integrated Oil & Gas"
"PepsiCo Inc.","PEP","Consumer Staples","Soft Drinks"
"Broadcom Inc.","AVGO","Information Technology","Semiconductors"
"Coca-Cola Company","KO","Consumer Staples","Soft Drinks"
"Qualcomm Inc","QCOM","Information Technology","Semiconductors"
"AbbVie Inc.","ABBV","Health Care","Pharmaceuticals"
"NIKE Inc. Class B","NKE","Consumer Discretionary","Apparel, Accessories & Luxury Goods"
"Chevron Corporation","CVX","Energy","Integrated Oil & Gas"
"Eli Lilly and Company","LLY","Health Care","Pharmaceuticals"
"NextEra Energy Inc.","NEE","Utilities","Multi-Utilities"
"Texas Instruments Incorporated","TXN","Information Technology","Semiconductors"
"Accenture Plc Class A","ACN","Information Technology","IT Consulting & Other Services"
"McDonald's Corporation","MCD","Consumer Discretionary","Restaurants"
"Costco Wholesale Corporation","COST","Consumer Staples","Hypermarkets & Super Centers"
"Danaher Corporation","DHR","Health Care","Health Care Equipment"
"Medtronic Plc","MDT","Health Care","Health Care Equipment"
"Bristol-Myers Squibb Company","BMY","Health Care","Health Care Distributors"
"Amgen Inc.","AMGN","Health Care","Biotechnology"
"Honeywell International Inc.","HON","Industrials","Industrial Conglomerates"
"Union Pacific Corporation","UNP","Industrials","Railroads"
"Linde plc","LIN","Materials","Industrial Gases"
"Wells Fargo & Company","WFC","Financials","Diversified Banks"
"Philip Morris International Inc.","PM","Consumer Staples","Tobacco"
"Citigroup Inc.","C","Financials","Diversified Banks"
"Lowe's Companies Inc.","LOW","Consumer Discretionary","Home Improvement Retail"
"Oracle Corporation","ORCL","Information Technology","Application Software"
"Starbucks Corporation","SBUX","Consumer Discretionary","Restaurants"
"United Parcel Service Inc. Class B","UPS","Industrials","Air Freight & Logistics"
"ServiceNow Inc.","NOW","Information Technology","Systems Software"
"International Business Machines Corporation","IBM","Information Technology","IT Consulting & Other Services"
"Advanced Micro Devices Inc.","AMD","Information Technology","Semiconductors"
"American Tower Corporation","AMT","Real Estate","Specialized REITs"
"Boeing Company","BA","Industrials","Aerospace & Defense"
"Raytheon Technologies Corporation","RTX","Industrials","Aerospace & Defense"
"BlackRock Inc.","BLK","Financials","Asset Management & Custody Banks"
"3M Company","MMM","Industrials","Industrial Conglomerates"
"Caterpillar Inc.","CAT","Industrials","Construction Machinery & Heavy Trucks"
"Intuit Inc.","INTU","Information Technology","Application Software"
"Morgan Stanley","MS","Financials","Investment Banking & Brokerage"
"Goldman Sachs Group Inc.","GS","Financials","Investment Banking & Brokerage"
"General Electric Company","GE","Industrials","Industrial Conglomerates"
"CVS Health Corporation","CVS","Health Care","Health Care Services"
