Company,Ticker,Market Cap,Price
APPLE INC,AAPL,2180271.0,129.87
MICROSOFT CORP.,MSFT,1817449.0,240.97
AMAZON COM INC,AMZN,1636536.0,3249.90
ALPHABET INC (GOOGLE) CLASS A,GOOGL,1408142.0,2088.81
TESLA INC,TSLA,749934.0,781.30
FACEBOOK INC,FB,744837.0,261.56
BERKSHIRE HATHAWAY INC,BRK.B,567072.0,241.85
JPMORGAN CHASE & CO.,JPM,451195.0,148.02
VISA INC,V,437564.0,204.73
JOHNSON & JOHNSON,JNJ,429051.0,162.98
WALMART INC,WMT,391404.0,138.34
NVIDIA CORP,NVDA,369580.0,597.06
PAYPAL HOLDINGS INC,PYPL,336035.0,286.92
WALT DISNEY COMPANY (THE),DIS,333372.0,183.65
MASTERCARD INCORPORATED,MA,330959.0,333.17
PROCTER & GAMBLE CO,PG,313030.0,127.12
UNITEDHEALTH GROUP INC,UNH,307968.0,324.58
HOME DEPOT INC,HD,301060.0,279.64
BANK OF AMERICA CORPORATION,BAC,298799.0,34.54
INTEL CORP,INTC,255947.0,63.01
NETFLIX INC,NFLX,239261.0,540.22
COMCAST CORP,CMCSA,238652.0,52.10
VERIZON COMMUNICATIONS,VZ,233595.0,56.45
ADOBE INC,ADBE,229355.0,479.12
SALESFORCE.COM INC,CRM,226277.0,246.56
NIKE INC,NKE,223892.0,142.02
EXXON MOBIL CORPORATION,XOM,221682.0,52.37
ABBOTT LABORATORIES,ABT,218071.0,123.04
COCA-COLA CO,KO,215573.0,50.11
AT&T INC,T,206654.0,29.00
BROADCOM INC,AVGO,198189.0,489.96
CISCO SYSTEMS INC,CSCO,192815.0,45.68
ELI LILLY AND COMPANY,LLY,192196.0,200.92
PFIZER INC,PFE,191431.0,34.44
THERMO FISHER SCIENTIFIC INC,TMO,189789.0,478.86
MERCK & CO INC,MRK,188007.0,74.31
ABBVIE INC,ABBV,185392.0,105.01
CHEVRON CORPORATION,CVX,184420.0,95.80
PEPSICO INC,PEP,182812.0,132.51
ORACLE CORP,ORCL,179969.0,61.13
ACCENTURE PLC,ACN,168120.0,254.29
QUALCOMM INC,QCOM,164652.0,144.94
DANAHER CORP,DHR,164412.0,231.24
TEXAS INSTRUMENTS INC,TXN,164125.0,178.35
MCDONALD'S CORPORATION,MCD,158142.0,212.24
COSTCO WHOLESALE CORP,COST,157147.0,354.77
WELLS FARGO & COMPANY,WFC,156408.0,37.83
NEXTERA ENERGY INC,NEE,153066.0,78.10
MEDTRONIC PLC,MDT,152544.0,113.33
T-MOBILE US INC,TMUS,149141.0,120.10
HONEYWELL INTERNATIONAL INC,HON,141576.0,203.56
UNION PACIFIC CORP,UNP,140879.0,209.06
UNITED PARCEL SERVICE INC,UPS,138420.0,160.54
CITIGROUP INC,C,136961.0,65.78
BRISTOL-MYERS SQUIBB CO,BMY,135773.0,60.60
AMGEN INC,AMGN,133816.0,231.69
PHILIP MORRIS INTERNATIONAL INC,PM,133073.0,85.45
LINDE PLC,LIN,131676.0,250.88
LOWE'S COMPANIES INC,LOW,130088.0,177.54
BOEING CO,BA,126784.0,217.47
STARBUCKS CORP,SBUX,121698.0,103.37
MORGAN STANLEY,MS,119834.0,76.00
CHARTER COMMUNICATIONS INC,CHTR,117651.0,607.29
CATERPILLAR INC,CAT,114035.0,209.91
RAYTHEON TECHNOLOGIES CORPORATION,RTX,112837.0,74.26
INTUIT INC,INTU,112729.0,411.35
SERVICENOW INC,NOW,111920.0,570.73
SCHWAB(CHARLES)CORP,SCHW,111265.0,61.91
APPLIED MATERIALS INC,AMAT,109624.0,119.46
GOLDMAN SACHS GROUP INC,GS,108595.0,315.62
ADVANCED MICRO DEVICES INC,AMD,108506.0,89.58
BLACKROCK INC,BLK,108300.0,710.11
AMERICAN EXPRESS CO,AXP,106104.0,131.71
INTERNATIONAL BUS MACH CORP,IBM,106027.0,118.99
GENERAL ELECTRIC CO,GE,105391.0,12.02
ESTEE LAUDER COMPANIES INC,EL,103444.0,285.16
DEERE & CO,DE,103409.0,330.00
3M COMPANY,MMM,102234.0,176.54
MICRON TECHNOLOGY INC,MU,101754.0,90.96
AMERICAN TOWER CORP ETF,AMT,100556.0,226.37
TARGET CORP,TGT,94556.0,188.82
LOCKHEED MARTIN CORP,LMT,93952.0,335.42
BOOKING HOLDINGS INC,BKNG,93912.0,2293.05
CVS HEALTH CORPORATION,CVS,92173.0,70.42
STRYKER CORP,SYK,91075.0,242.09
INTUITIVE SURGICAL INC,ISRG,88306.0,750.15
LAM RESEARCH CORP,LRCX,85518.0,598.41
S&P GLOBAL INC,SPGI,81655.0,339.24
ALTRIA GROUP INC,MO,81399.0,43.80
FIDELITY NATL INFORMATION SERVICES,FIS,81280.0,130.99
TJX COS INC,TJX,81271.0,67.69
GILEAD SCIENCES INC,GILD,80720.0,64.37
PROLOGIS INC ETF,PLD,78774.0,105.30
ACTIVISION BLIZZARD INC,ATVI,77904.0,100.80
TRUIST FINANCIAL CORPORATION,TFC,77673.0,57.58
MONDELEZ INTL INC,MDLZ,76692.0,54.31
ZOETIS INC,ZTS,76043.0,160.00
GENERAL MOTORS CO,GM,75749.0,52.57
US BANCORP,USB,75352.0,50.02
FISERV INC,FISV,74660.0,111.36
CHUBB LIMITED,CB,74341.0,164.70
CIGNA CORPORATION,CI,73792.0,204.26
ANTHEM INC,ANTM,73360.0,294.97
AUTOMATIC DATA PROCESSING INC,ADP,72446.0,169.29
PNC FINANCIAL SERVICES GROUP,PNC,72203.0,170.41
BECTON DICKINSON & CO,BDX,72039.0,247.93
CROWN CASTLE INTERNATIONAL CORP ETF,CCI,71509.0,165.80
ILLUMINA INC,ILMN,70994.0,486.26
CSX CORP,CSX,70219.0,92.09
CME GROUP INC,CME,70028.0,195.07
FEDEX CORP,FDX,67498.0,254.64
AUTODESK INC,ADSK,67154.0,305.40
COLGATE-PALMOLIVE CO,CL,66173.0,77.20
CONOCOPHILLIPS,COP,65591.0,48.42
SHERWIN-WILLIAMS CO,SHW,65113.0,716.91
DUKE ENERGY CORP,DUK,65081.0,88.43
NORFOLK SOUTHERN CORP,NSC,65001.00000000001,258.03
ILLINOIS TOOL WORKS INC,ITW,63747.0,201.40
INTERCONTINENTAL EXCHANGE INC,ICE,63669.0,113.35
SOUTHERN CO.,SO,62646.0,59.31
EQUINIX INC ETF,EQIX,60609.0,680.22
ANALOG DEVICES INC,ADI,60508.0,163.80
HCA HEALTHCARE INC,HCA,60018.0,177.37
MARSH & MCLENNAN COMPANIES INC,MMC,59472.0,117.07
ECOLAB INC,ECL,59395.0,208.08
AIR PRODUCTS & CHEMICALS INC,APD,58391.0,263.88
DOMINION ENERGY INC,D,58046.0,71.15
GLOBAL PAYMENTS INC,GPN,57930.0,194.18
TWITTER INC,TWTR,57488.0,72.28
CAPITAL ONE FINANCIAL CORP,COF,54878.0,119.56
FREEPORT-MCMORAN INC,FCX,54468.0,37.49
BOSTON SCIENTIFIC CORP,BSX,54456.0,38.03
VERTEX PHARMACEUTICAL,VRTX,53817.0,207.02
EDWARDS LIFESCIENCES CORP,EW,52653.0,84.31
MOODYS CORP,MCO,52467.0,280.42
AON PLC (IE),AON,52202.0,228.34
EMERSON ELECTRIC CO,EMR,51273.0,85.45
KLA CORPORATION,KLAC,50948.0,330.67
PROGRESSIVE CORP(OHIO),PGR,50948.0,87.06
EATON CORPORATION PLC,ETN,50941.0,127.80
METLIFE INC,MET,50460.0,56.07
REGENERON PHARMACEUTICALS INC,REGN,50392.0,470.37
NORTHROP GRUMMAN CORP,NOC,49555.0,297.24
DOLLAR GENERAL CORP,DG,49284.0,201.16
HUMANA INC,HUM,48569.0,376.91
MONSTER BEVERAGE CORP,MNST,47328.0,89.65
ALIGN TECHNOLOGY INC,ALGN,47251.0,599.25
WASTE MANAGEMENT INC,WM,47176.0,111.63
GENERAL DYNAMICS CORP,GD,47171.0,164.78
IDEXX LABORATORIES INC,IDXX,46483.0,544.13
FORD MTR CO DEL,F,46073.0,11.58
LAS VEGAS SANDS CORP,LVS,45968.0,60.18
KRAFT HEINZ CO,KHC,45824.0,37.48
NEWMONT CORPORATION,NEM,45526.0,56.67
DOW INC,DOW,44925.0,60.39
KIMBERLY CLARK CORP,KMB,44200.0,130.63
MARRIOTT INTERNATIONAL INC,MAR,44200.0,136.28
TE CONNECTIVITY LTD,TEL,43750.0,132.22
MICROCHIP TECHNOLOGY,MCHP,43715.0,162.35
CONSTELLATION BRANDS INC,STZ,42763.0,223.21
BIOGEN INC,BIIB,42403.0,278.35
ROSS STORES INC,ROST,42347.0,118.95
WALGREENS BOOTS ALLIANCE INC,WBA,42309.0,48.86
EBAY INC,EBAY,42174.0,61.98
